ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GOBP_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,"Any process that modulates the frequency, rate or extent of apoptotic signaling pathway. [GOC:mtg_apoptosis]",45/926,322/12583,0.13975155279503104,1.8990213702158483,4.605978860761945,2.1996726520444107e-5,9.236983591831267e-4,7.271188153812162e-4,PPARG/G0S2/LMNA/HIF1A/TNFRSF12A/SERPINE1/NKX3-1/PLAUR/IL10/HMOX1/CTNNB1/THBS1/ATF3/FGFR1/LGALS3/PPIF/IFI6/CD44/IL1B/IER3/SKIL/IVNS1ABP/ZNF385A/SH3RF1/MCL1/BID/ITGAV/CRADD/ATF4/SNAI1/TPT1/YBX3/MAP2K1/MYC/SRC/OPA1/EIF2AK3/RPS7/MAPK7/PTPN1/CCAR2/GSDME/SFPQ/DDIT3/CLU,45
GOBP_POSITIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION,"Any process that activates or increases the frequency, rate or extent of adipocyte differentiation. [GOC:go_curators]",13/926,47/12583,0.2765957446808511,3.758535912871651,5.339923250997382,2.2789677092384915e-5,9.499075036951846e-4,7.477501848324034e-4,PPARG/CEBPB/PPARD/NOCT/ZFP36L1/ID2/ZNF385A/KLF5/RREB1/SYAP1/METRNL/ZFP36/ZC3H12A,13
GOBP_CONNECTIVE_TISSUE_DEVELOPMENT,"The progression of a connective tissue over time, from its formation to the mature structure. [GOC:BHF]",32/926,200/12583,0.16,2.174168466522678,4.717581478226359,2.3907905365335196e-5,9.891895844907437e-4,7.786723357378522e-4,PPARG/HIF1A/CSF1/FOSL2/CTNNB1/ARRDC3/PPARD/FGFR1/TIMP1/SMAD3/CD44/SMAD7/PDGFA/RASAL2/CRIP1/ID2/RUNX1/ITGB8/ARID5A/RUNX3/RARG/SNAI1/MEX3C/CHSY1/HOXA5/EIF2AK3/RUNX2/IL6R/TGFB1/NAMPT/SLC25A25/SPI1,32
GOBP_GLIOGENESIS,"The process that results in the generation of glial cells. This includes the production of glial progenitors and their differentiation into mature glia. [GOC:dgh, GOC:jid]",37/926,247/12583,0.14979757085020243,2.035532218151293,4.632461805892414,2.5811364894695603e-5,0.001060150001915709,8.345311062380263e-4,CCL2/PLPP3/CSF1/GPR183/AREG/TNFRSF21/CTNNB1/SLC7A5/ZEB2/VIM/C5AR1/CXCR4/CD9/MECP2/ZMIZ1/IL1B/NAB2/SKI/RHEB/ID2/PRDM8/P2RY1/PLEC/P2RX4/MIOS/ADGRG1/PFKFB3/B4GALT5/BIN1/EGR2/MAP2K1/NR3C1/CCDC85C/TGFB1/APCDD1/ARSG/CLU,37
GOBP_ENDOTHELIAL_CELL_MIGRATION,The orderly movement of an endothelial cell into the extracellular matrix to form an endothelium. [GOC:go_curators],29/926,174/12583,0.16666666666666666,2.2647588192944563,4.734791767934623,2.6208777108288743e-5,0.0010609840920024515,8.351876870252105e-4,RGCC/PPARG/PLPP3/HIF1A/MET/VEGFA/HMOX1/EHD4/THBS1/FN1/ZEB2/FGFR1/LGMN/S100A2/MECP2/GLUL/NR4A1/ID1/STARD13/NRP2/P2RX4/RAC1/EGR3/PXN/ITGB1/TGFB1/NUS1/ZC3H12A/ANXA1,29
GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,"The series of molecular signals initiated by an extracellular ligand binding to a transforming growth factor beta receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription. [GOC:BHF, GOC:mah, GOC:signaling]",29/926,174/12583,0.16666666666666666,2.2647588192944563,4.734791767934623,2.6208777108288743e-5,0.0010609840920024515,8.351876870252105e-4,RGCC/PPARG/CD109/CLDN5/THBS1/ZEB2/SPRY2/ZFYVE9/SMAD3/ADAM9/HIPK2/SMAD7/ZMIZ1/SKI/ID1/SKIL/SMURF1/ITGB8/EP300/SPRED2/ENG/SRC/PXN/ITGB1/TGFB1/PMEPA1/FURIN/SPI1/ZBTB7A,29
GOBP_POSITIVE_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION,"Any process that activates or increases the frequency, rate or extent of myeloid cell differentiation. [GOC:go_curators]",19/926,91/12583,0.2087912087912088,2.8371703890062423,4.9572529613132215,2.779048783703701e-5,0.0011090572699220373,8.730300322377884e-4,HIF1A/CSF1/FOXO3/KLF10/TRIB1/ZFP36L1/GLUL/JAG1/ID2/RUNX1/NEDD9/TM4SF19/RCOR1/HOXA5/CCR1/TGFB1/RPTOR/ACVR1B/HLA-DRB1,19
GOBP_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION,"Any process that modulates the frequency, rate or extent of osteoblast differentiation. [GOC:go_curators]",19/926,91/12583,0.2087912087912088,2.8371703890062423,4.9572529613132215,2.779048783703701e-5,0.0011090572699220373,8.730300322377884e-4,PPARG/CEBPB/FAM20C/AREG/VEGFA/CTNNB1/NOCT/SMAD3/SKI/ID1/JAG1/ID2/ATF4/CEBPD/CLIC1/RUNX2/IL6R/JUND/TOB1,19
GOBP_L_GLUTAMATE_TRANSMEMBRANE_TRANSPORT,The directed movement of L-glutamate across a membrane by means of some agent such as a transporter or a pore. [PMID:21307582],9/926,24/12583,0.375,5.095707343412527,5.660358562171178,2.8979333319656783e-5,0.0011483571027444276,9.039661572210212e-4,SLC7A11/NTSR1/PER2/SLC1A3/ITGB1/SLC1A2/CLN8/SLC25A13/TTYH3,9
GOBP_MONONUCLEAR_CELL_MIGRATION,The movement of a mononuclear cell within or between different tissues and organs of the body. [GOC:mah],30/926,184/12583,0.16304347826086957,2.21552493191849,4.681299078854582,2.9521750444391837e-5,0.0011616705576964535,9.144462706661822e-4,CCL2/CSF1/GPR183/SERPINE1/NINJ1/THBS1/LGMN/LGALS3/C5AR1/CXCR4/CXCL16/CD9/CD99/PLEC/NEDD9/P2RX4/FLT1/B4GALT1/CCR1/GAS6/IL6R/TGFB1/STK10/ABL2/ADAM8/ASB2/SPI1/LRP12/CD69/ANXA1,30
