p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0.0026404236738603237,1.1672594931109987,0.057,0.027,1,9,DHX37
0.0026457310023564034,2.3314079200870035,0.015,0.004,1,9,LINC02999
0.0026684049718266383,0.8794305894662136,0.111,0.065,1,9,DCTN6-DT
0.002699563467153315,0.8715040458702172,0.065,0.032,1,9,SLC1A2
0.002701404070304494,0.6597973024650613,0.172,0.115,1,9,CLDND1
0.002702213720613117,0.8599416689346406,0.103,0.059,1,9,SLC16A6
0.0027116883992230004,0.872025598415535,0.115,0.068,1,9,AGAP3
0.0027157146204945574,2.0306699419076066,0.015,0.004,1,9,EDRF1-AS1
0.0027288601415942264,0.4625970236252488,0.471,0.388,1,9,LIMS1
0.002752294144198015,3.1033882879583072,0.011,0.002,1,9,ADGRG3
0.0027671044158088156,2.7840364761433314,0.011,0.002,1,9,H3C6
0.002776043577523081,0.28307754567814025,0.648,0.572,1,9,PLP2
0.0027786738040085934,2.9645267399004522,0.011,0.002,1,9,ENSG00000285639
0.0027839230977613843,0.9667915598825518,0.115,0.069,1,9,IL3RA
0.002794119982644192,0.10944169367739365,0.943,0.899,1,9,NEAT1
0.002825394510686795,2.128150984548789,0.011,0.002,1,9,UBE2L5
0.002861845402409621,1.0572560955399335,0.073,0.038,1,9,ABL2
0.002895193027643958,1.3295976129261984,0.023,0.007,1,9,APCDD1
0.00289937236734718,0.15761263797274738,0.966,0.944,1,9,RPS6
0.002916253708579794,0.3912561642386493,0.456,0.376,1,9,ANKRD12
0.002954999780695997,0.4008668792287091,0.471,0.389,1,9,AKIRIN2
0.0029775685932832033,0.2775660001983351,0.728,0.638,1,9,APLP2
0.0029845846667769242,1.4071972476125358,0.096,0.053,1,9,CCL4L2
0.0029867791838945478,0.9586795086532218,0.073,0.038,1,9,ENSG00000262898
0.003026286078503396,0.6242839783459134,0.195,0.136,1,9,PSMD11
0.0030995353146629255,2.1502087661617777,0.015,0.004,1,9,ENSG00000274292
0.0031015921667937834,1.1418251714287537,0.05,0.022,1,9,PRDM10
0.0031559840937447126,0.5332587659131409,0.165,0.106,1,9,MARCHF5
0.0032158796912938733,0.6013945773572864,0.234,0.169,1,9,GID8
0.003220156932489635,1.1120809706727246,0.069,0.035,1,9,CLN8
0.003236498614359994,1.0296837716407259,0.054,0.025,1,9,SEL1L3
0.003276317522967334,1.3254248594316693,0.042,0.018,1,9,TMEM255B
0.0033029217585402956,0.7159799789625774,0.126,0.077,1,9,MAFG
0.003302996447415409,0.4970490475017869,0.192,0.13,1,9,PTAR1
0.003373561796707257,0.60779855508114,0.165,0.109,1,9,PRXL2C
0.0034270445890899615,1.0954886511241004,0.054,0.025,1,9,STX17-DT
0.0034480278648940377,0.5989248861584544,0.249,0.185,1,9,BRWD1
