p_val,avg_log2FC,pct.1,pct.2,p_val_adj
0.0068427838645326216,-4.741470266257311,0,0.036,1
0.0068427838645326216,-4.998932457191151,0,0.036,1
0.0068427838645326216,-3.9467600045866402,0,0.036,1
0.0068427838645326216,-3.854587420827383,0,0.036,1
0.0068427838645326216,-4.362225026812528,0,0.036,1
0.0068427838645326216,-4.646814636412664,0,0.036,1
0.0068427838645326216,-4.214217431316838,0,0.036,1
0.0068427838645326216,-4.379191325714023,0,0.036,1
0.0068427838645326216,-4.512038799422919,0,0.036,1
0.0068427838645326216,-4.845993272544572,0,0.036,1
0.0068427838645326216,-4.357006094826749,0,0.036,1
0.0068427838645326216,-4.490719917033419,0,0.036,1
0.0068427838645326216,-4.589617110033124,0,0.036,1
0.0068427838645326216,-4.722164017140525,0,0.036,1
0.0068427838645326216,-5.264967806004366,0,0.036,1
0.0068427838645326216,-3.8682757965784575,0,0.036,1
0.0068427838645326216,-3.789918609224075,0,0.036,1
0.0068427838645326216,-4.959054720052183,0,0.036,1
0.0068427838645326216,-4.844199042995516,0,0.036,1
0.0068427838645326216,-4.567671758366583,0,0.036,1
0.0068427838645326216,-4.227816947508154,0,0.036,1
0.0068427838645326216,-4.130820353165738,0,0.036,1
0.0068612266222451606,-0.17972891196856366,1,1,1
0.006861378982686521,-0.7291918128980601,0.298,0.518,1
0.007062078599040786,-1.9092724153339538,0.024,0.107,1
0.007062078599040786,-2.126631864451854,0.024,0.107,1
0.007099390634748759,-1.8799677225911187,0.044,0.143,1
0.007164206091069676,-2.2827874441180365,0.01,0.071,1
0.007184591836207769,-1.9524075736837034,0.024,0.107,1
0.007226390980208215,0.8369243770529043,0.463,0.286,1
0.007294418718318492,-0.9369282664951688,0.166,0.339,1
0.00731530380052728,-0.8033452230013592,0.302,0.464,1
0.007403307513785308,-2.3967186375781973,0.044,0.143,1
0.007403525401202111,-1.6785662594241888,0.034,0.125,1
0.007435356680733624,-1.772448393004222,0.024,0.107,1
0.007435356680733624,-1.8174425903309348,0.024,0.107,1
0.00745696220753218,4.409608983016211,0.117,0,1
0.00745696220753218,4.3698691095682065,0.117,0,1
0.007536987010529646,-1.2843345514313587,0.141,0.286,1
0.00759711718936192,1.2416142711796807,0.478,0.321,1
0.007615208802996325,-0.6361660559620275,0.488,0.696,1
0.007693804643295198,2.5070535768631617,0.176,0.036,1
0.00772760603890523,-1.1898647486805316,0.098,0.232,1
0.007749828052902998,-1.865820503013723,0.034,0.125,1
0.0077888012909244735,-0.6241413251887111,0.298,0.518,1
0.007804634807482372,-1.0258646944992595,0.22,0.393,1
0.007833935695723061,1.3076298844914709,0.312,0.143,1
0.007878165448655702,0.9942853531537312,0.332,0.143,1
0.007920243891799359,-0.8629071781508537,0.112,0.268,1
0.007936533103271906,-0.8536544410159539,0.254,0.429,1
0.008083139336438982,-0.2101686603462687,0.995,0.982,1
0.0081110727603675,-0.806619944328276,0.195,0.375,1
0.008138513507784382,-1.2574719868707933,0.073,0.196,1
0.008138513507784382,-1.5502889759850371,0.073,0.196,1
0.008189128688999646,-0.9308426191328483,0.117,0.268,1
0.008251891403888803,0.2517691890655138,1,1,1
0.008349680122044163,-0.3271196815539801,0.985,1,1
0.008461170511023531,-3.8062586657114164,0.005,0.054,1
0.008461170511023531,-3.288555508090783,0.005,0.054,1
0.008461170511023531,-3.939905645593604,0.005,0.054,1
0.008461170511023531,-3.8156635973448245,0.005,0.054,1
0.008461170511023531,-3.7440220545208542,0.005,0.054,1
0.008461170511023531,-3.4275898582353332,0.005,0.054,1
0.008461170511023531,-3.5800647695984575,0.005,0.054,1
0.008461170511023531,-3.5914711340415435,0.005,0.054,1
0.008461170511023531,-3.504909396800566,0.005,0.054,1
0.008486282864521428,-1.6992023914474532,0.034,0.125,1
0.008614933674925645,-1.4986729860721768,0.034,0.125,1
0.008657363387693297,1.217078467618783,0.463,0.321,1
0.00869794054790227,-3.7554036486596907,0.005,0.054,1
0.00869794054790227,-3.2536643268652576,0.005,0.054,1
0.00869794054790227,-3.2168980229540156,0.005,0.054,1
0.008711524091870043,0.8157327958293771,0.273,0.089,1
0.008745325098814937,-1.7921030614664375,0.034,0.125,1
0.008749404320702758,0.730135293675289,0.737,0.643,1
0.008797707165199002,1.1260625825669817,0.39,0.214,1
0.008816421614048189,-0.7404338769726336,0.278,0.464,1
0.008817448373938221,1.0287477103107066,0.307,0.125,1
0.008846210164773702,-1.290363268985762,0.054,0.161,1
0.008870130755507967,-0.8629128780589306,0.171,0.339,1
0.008940614367951974,-3.0980476150949463,0.005,0.054,1
0.008940614367951974,-2.860598483143421,0.005,0.054,1
0.008940614367951974,-2.7411159129078757,0.005,0.054,1
0.008940614367951974,-3.0062551822765267,0.005,0.054,1
0.008940614367951974,-3.4042980636666855,0.005,0.054,1
0.008940614367951974,-3.085154492756126,0.005,0.054,1
0.008940614367951974,-3.548347943242127,0.005,0.054,1
0.00894544846275605,4.1567782866925755,0.112,0,1
0.009098011114364495,-0.5900418358530626,0.746,0.839,1
0.009166115662326486,-1.411783732526275,0.088,0.214,1
0.00918931726399489,-2.478325678586415,0.005,0.054,1
0.00918931726399489,-2.5652309131971665,0.005,0.054,1
0.00918931726399489,-2.6768875509433467,0.005,0.054,1
0.00918931726399489,-2.78396946207052,0.005,0.054,1
0.00918931726399489,-2.7036754408767876,0.005,0.054,1
0.00918931726399489,-2.722594734420579,0.005,0.054,1
0.00918931726399489,-2.7355684125801174,0.005,0.054,1
